City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
211,lavrentiya,65.5833,-171.0,-11.0,99,90,1.46,RU,1674943488
212,aranos,-24.1333,19.1167,26.98,36,58,2.05,NA,1674943488
213,ushtobe,45.2514,77.9838,-16.24,95,9,1.43,KZ,1674943488
214,coihaique,-45.5752,-72.0662,20.34,63,75,3.6,CL,1674943489
215,west wendover,40.7391,-114.0733,0.92,77,32,0.43,US,1674943315
216,gazojak,41.1875,61.4036,-2.1,57,9,4.09,TM,1674943489
217,khatanga,71.9667,102.5,-35.6,96,21,3.04,RU,1674943489
218,mangai,-4.05,19.5333,21.75,93,92,1.2,CD,1674943490
219,cockburn town,21.4612,-71.1419,24.62,66,9,10.01,TC,1674943490
220,lagunas,-5.2269,-75.6753,32.15,44,84,1.92,PE,1674943491
221,aquiraz,-3.9014,-38.3911,28.05,79,6,4.37,BR,1674943491
222,liverpool,53.4106,-2.9779,6.88,94,100,2.57,GB,1674943491
223,vladimirescu,46.15,21.4,2.21,93,100,2.57,RO,1674943492
224,byron bay,-28.65,153.6167,25.52,85,98,2.33,AU,1674943492
225,codrington,-38.2667,141.9667,14.98,89,100,3.07,AU,1674943492
226,petukhovo,55.0692,67.9019,-12.8,97,89,3.13,RU,1674943493
227,bobcaygeon,44.5462,-78.542,-2.29,83,100,3.27,CA,1674943493
228,kruisfontein,-34.0033,24.7314,16.05,71,100,5.83,ZA,1674943493
229,gonbad-e qabus,37.25,55.1672,8.91,33,96,1.65,IR,1674943252
230,sitka,57.0531,-135.33,6.94,39,0,2.06,US,1674943494
231,faanui,-16.4833,-151.75,27.42,73,8,6.41,PF,1674943494
232,santa isabel do rio negro,-0.4139,-65.0192,27.99,66,97,0.96,BR,1674943495
233,lagoa,39.05,-27.9833,14.32,76,55,7.93,PT,1674943495
234,bredasdorp,-34.5322,20.0403,17.14,55,100,4.86,ZA,1674943495
235,bilibino,68.0546,166.4372,-23.11,99,41,1.64,RU,1674943496
236,kyabe,9.4515,18.9449,28.02,13,100,2.19,TD,1674943496
237,itambacuri,-18.0311,-41.685,22.68,95,19,1.9,BR,1674943496
238,chuy,-33.6971,-53.4616,25.25,71,58,3.5,UY,1674943497
239,bengkulu,-3.8004,102.2655,24.14,87,92,4.07,ID,1674943497
240,yaring,6.8662,101.3689,23.4,90,100,4.99,TH,1674943497
241,butaritari,3.0707,172.7902,27.2,80,97,11.21,KI,1674943498
242,ayan,56.45,138.1667,-26.14,84,70,2.22,RU,1674943498
243,wau,7.7029,27.9953,27.01,21,5,1.12,SS,1674943498
244,slavjanovo,43.4667,24.8667,0.7,98,100,3.68,BG,1674943499
245,chapais,49.7834,-74.8492,-21.02,90,100,4.25,CA,1674943499
246,petropavlovsk-kamchatskiy,53.0452,158.6483,-5.67,80,75,3.0,RU,1674943243
247,laguna,38.421,-121.4238,16.83,49,0,3.09,US,1674943499
248,ocos,14.5094,-92.1933,31.1,65,16,5.61,GT,1674943500
249,obo,5.3998,26.4869,25.25,26,74,1.91,CF,1674943500
250,coxcatlan,18.2667,-97.15,25.3,45,5,2.2,MX,1674943500
251,seoul,37.5683,126.9778,-5.31,75,18,1.26,KR,1674943443
252,yellowknife,62.456,-114.3525,-21.07,87,27,6.62,CA,1674943217
253,coahuayana,18.7333,-103.6833,29.96,37,60,3.29,MX,1674943501
254,pokosnoye,55.5258,101.0536,-7.04,96,100,2.02,RU,1674943501
255,ceres,37.5949,-120.9577,15.94,53,2,0.99,US,1674943235
256,brae,60.3964,-1.353,7.4,81,100,11.6,GB,1674943502
257,hambantota,6.1241,81.1185,21.19,100,20,3.09,LK,1674943503
258,kamaishi,39.2667,141.8833,-4.41,65,45,7.31,JP,1674943503
259,poya,-21.35,165.15,25.6,84,100,1.97,NC,1674943504
260,poum,-20.2333,164.0167,25.99,82,100,3.45,NC,1674943504
261,altay,47.8667,88.1167,-14.47,66,0,2.9,CN,1674943505
262,burla,21.5,83.8667,17.88,61,0,2.09,IN,1674943506
263,khatima,28.9167,79.9667,12.88,57,44,1.85,IN,1674943506
264,conakry,9.538,-13.6773,26.16,81,44,3.69,GN,1674943421
265,dikson,73.5069,80.5464,-25.27,97,98,2.91,RU,1674943507
266,jalalabad,34.4265,70.4515,7.99,54,98,2.53,AF,1674943394
267,myrtle beach,33.6891,-78.8867,12.28,52,78,2.84,US,1674943317
268,san juan,-31.5375,-68.5364,33.42,24,3,5.62,AR,1674943259
269,bud,39.447,-86.1758,12.01,50,93,5.39,US,1674943507
270,margherita,27.2833,95.6833,15.39,66,0,1.0,IN,1674943508
271,mayo,38.8876,-76.5119,13.09,43,0,2.57,US,1674943508
272,havelock,34.8791,-76.9013,12.77,57,85,2.24,US,1674943219
273,abu samrah,35.3029,37.1841,7.23,80,76,2.68,SY,1674943509
274,kargasok,59.0556,80.8572,-6.66,95,100,3.79,RU,1674943509
275,ulladulla,-35.35,150.4667,23.13,84,97,2.29,AU,1674943510
276,constitucion,-35.3333,-72.4167,20.9,54,3,6.71,CL,1674943256
277,ahipara,-35.1667,173.1667,23.07,77,99,4.42,NZ,1674943510
278,yenagoa,4.9247,6.2642,25.58,87,63,2.29,NG,1674943511
279,syasstroy,60.1367,32.5691,-6.03,93,100,6.84,RU,1674943511
280,tromso,69.6496,18.957,0.21,93,75,7.2,NO,1674943511
281,saint anthony,45.0205,-93.218,-13.42,62,0,5.14,US,1674943512
282,port blair,11.6667,92.75,26.65,73,6,6.58,IN,1674943512
283,harper,4.375,-7.7169,25.93,86,18,3.38,LR,1674943512
284,alofi,-19.0595,-169.9187,27.26,76,93,5.21,NU,1674943513
285,mount gambier,-37.8333,140.7667,14.78,91,100,2.51,AU,1674943513
286,padang,-0.9492,100.3543,24.45,86,100,2.26,ID,1674943513
